year,co2
1958.25,316.1
1958.3333333333333,317.2
1958.4166666666667,317.43333333333334
1958.5833333333333,315.625
1958.6666666666667,314.95000000000005
1958.75,313.5
1958.9166666666667,313.425
1959.0,314.7
1959.0833333333333,315.5
1959.1666666666667,316.7
1959.25,316.73333333333335
1959.3333333333333,317.675
1959.4166666666667,318.325
1959.5,318.025
1959.5833333333333,316.525
1959.6666666666667,314.9
1959.75,313.825
1959.8333333333333,313.4
1959.9166666666667,314.875
1960.0,315.525
1960.0833333333333,316.38
1960.1666666666667,316.975
1960.25,317.575
1960.3333333333333,319.12
1960.4166666666667,319.925
1960.5,319.45
1960.5833333333333,318.06
1960.6666666666667,315.775
1960.75,314.175
1960.8333333333333,313.84000000000003
1960.9166666666667,315.025
1961.0,316.2
1961.0833333333333,316.925
1961.1666666666667,317.65
1961.25,318.525
1961.3333333333333,319.41999999999996
1961.4166666666667,320.475
1961.5,319.75
1961.5833333333333,318.32
1961.6666666666667,316.775
1961.75,315.04
1961.8333333333333,315.34999999999997
1961.9166666666667,316.05
1962.0,316.98
1962.0833333333333,317.925
1962.1666666666667,318.625
1962.25,319.67999999999995
1962.3333333333333,320.55
1962.4166666666667,320.9
1962.5,320.5
1962.5833333333333,319.425
1962.6666666666667,317.73333333333335
1962.75,316.06666666666666
1962.8333333333333,315.475
1962.9166666666667,316.54999999999995
1963.0,317.52500000000003
1963.0833333333333,318.725
1963.1666666666667,318.96666666666664
1963.25,319.86
1963.3333333333333,321.275
1963.4166666666667,322.09999999999997
1963.5,321.46
1963.5833333333333,319.6
1963.6666666666667,317.6
1963.75,316.15
1963.8333333333333,316.05
1963.9166666666667,317.0
1964.0,318.35
1964.0833333333333,319.40000000000003
1964.4166666666667,322.0
1964.5,321.75
1964.5833333333333,320.3
1964.6666666666667,318.5
1964.75,316.6
1964.8333333333333,316.96
1964.9166666666667,317.725
1965.0,318.67499999999995
1965.0833333333333,319.4
1965.1666666666667,320.45
1965.25,320.92499999999995
1965.3333333333333,322.0
1965.4166666666667,322.06
1965.5,321.775
1965.5833333333333,321.03999999999996
1965.6666666666667,318.725
1965.75,317.825
1965.8333333333333,317.34000000000003
1965.9166666666667,318.875
1966.0,319.325
1966.0833333333333,320.54
1966.1666666666667,321.575
1966.25,322.375
1966.3333333333333,323.65999999999997
1966.4166666666667,324.025
1966.5,323.7
1966.5833333333333,322.85
1966.6666666666667,320.20000000000005
1966.75,318.7
1966.8333333333333,318.18
1966.9166666666667,319.90000000000003
1967.0,321.06000000000006
1967.0833333333333,322.4
1967.1666666666667,322.425
1967.25,323.0
1967.3333333333333,324.28000000000003
1967.4166666666667,324.95
1967.5,324.075
1967.5833333333333,322.48
1967.6666666666667,320.85
1967.75,319.3
1967.8333333333333,319.45
1967.9166666666667,320.675
1968.0,321.91999999999996
1968.0833333333333,322.55
1968.1666666666667,323.05
1968.25,323.91999999999996
1968.3333333333333,324.975
1968.4166666666667,325.475
1968.5,325.26
1968.5833333333333,324.025
1968.6666666666667,321.93999999999994
1968.75,320.25
1968.8333333333333,320.275
1968.9166666666667,321.32
1969.0,322.925
1969.0833333333333,323.925
1969.1666666666667,324.275
1969.25,325.6
1969.3333333333333,326.575
1969.4166666666667,327.28000000000003
1969.5,326.55
1969.5833333333333,325.8
1969.6666666666667,323.54
1969.75,322.4
1969.8333333333333,321.8
1969.9166666666667,322.82
1970.0,324.125
1970.0833333333333,325.08000000000004
1970.1666666666667,326.025
1970.25,327.0
1970.3333333333333,328.075
1970.4166666666667,327.91999999999996
1970.5,327.55
1970.5833333333333,326.3
1970.6666666666667,324.65999999999997
1970.75,323.15
1970.8333333333333,323.14
1970.9166666666667,324.05
1971.0,325.1
1971.0833333333333,326.14
1971.1666666666667,326.65
1971.25,327.2
1971.3333333333333,327.675
1971.4166666666667,328.82
1971.5,328.475
1971.5833333333333,327.21999999999997
1971.6666666666667,325.25
1971.75,323.4
1971.8333333333333,323.54
1971.9166666666667,324.825
1972.0,325.925
1972.0833333333333,326.72
1972.1666666666667,327.625
1972.25,327.725
1972.3333333333333,329.64
1972.4166666666667,330.0
1972.5,329.075
1972.5833333333333,328.04
1972.6666666666667,326.25
1972.75,324.86
1972.8333333333333,325.3
1972.9166666666667,326.425
1973.0,327.54
1973.0833333333333,328.55
1973.1666666666667,329.475
1973.25,330.38
1973.3333333333333,331.575
1973.4166666666667,332.4
1973.5,331.94
1973.5833333333333,330.65
1973.6666666666667,329.325
1973.75,327.5
1973.8333333333333,327.225
1973.9166666666667,328.05
1974.0,328.64
1974.0833333333333,329.325
1974.1666666666667,330.625
1974.25,331.5
1974.3333333333333,332.625
1974.4166666666667,332.975
1974.5,332.15999999999997
1974.5833333333333,331.075
1974.6666666666667,329.21999999999997
1974.75,327.375
1974.8333333333333,327.375
1974.9166666666667,328.4
1975.0,329.675
1975.0833333333333,330.25
1975.1666666666667,331.3
1975.25,332.0
1975.3333333333333,333.275
1975.4166666666667,333.86
1975.5,333.4
1975.5833333333333,331.8
1975.6666666666667,329.98
1975.75,328.525
1975.8333333333333,328.325
1975.9166666666667,329.44
1976.0,330.775
1976.0833333333333,331.74
1976.1666666666667,332.55
1976.25,333.45000000000005
1976.3333333333333,334.45
1976.4166666666667,334.76
1976.5,334.40000000000003
1976.5833333333333,332.86
1976.6666666666667,330.725
1976.75,329.35
1976.8333333333333,329.1
1976.9166666666667,330.35
1977.0,331.625
1977.0833333333333,332.88
1977.1666666666667,333.425
1977.25,334.70000000000005
1977.3333333333333,336.04
1977.4166666666667,336.675
1977.5,336.2
1977.5833333333333,334.8
1977.6666666666667,332.875
1977.75,331.575
1977.8333333333333,331.2
1977.9166666666667,332.35
1978.0,333.86
1978.0833333333333,335.025
1978.1666666666667,335.35
1978.25,336.6
1978.3333333333333,337.64
1978.4166666666667,337.95
1978.5,337.925
1978.5833333333333,336.5
1978.6666666666667,334.65
1978.75,332.74
1978.8333333333333,332.65
1978.9166666666667,333.825
1979.0,334.96000000000004
1979.0833333333333,336.225
1979.1666666666667,336.7
1979.25,338.0
1979.3333333333333,338.875
1979.4166666666667,339.375
1979.5,339.23999999999995
1979.5833333333333,337.525
1979.6666666666667,336.025
1979.75,333.98
1979.8333333333333,333.95
1979.9166666666667,335.15
1980.0,336.65999999999997
1980.0833333333333,337.925
1980.1666666666667,338.225
1980.25,340.06
1980.3333333333333,340.75
1980.4166666666667,341.34000000000003
1980.5,340.95
1980.5833333333333,339.375
1980.6666666666667,337.6
1980.75,335.875
1980.8333333333333,336.025
1980.9166666666667,337.06
1981.0,338.2
1981.0833333333333,339.21999999999997
1981.1666666666667,340.45
1981.25,341.4
1981.3333333333333,342.45
1981.4166666666667,342.82
1981.5,342.125
1981.5833333333333,340.425
1981.6666666666667,338.4
1981.75,336.7
1981.8333333333333,336.94
1981.9166666666667,338.425
1982.0,339.6
1982.0833333333333,340.7
1982.1666666666667,341.55
1982.25,342.675
1982.3333333333333,343.475
1982.4166666666667,343.96000000000004
1982.5,343.29999999999995
1982.5833333333333,341.91999999999996
1982.6666666666667,339.625
1982.75,338.025
1982.8333333333333,337.9
1982.9166666666667,339.275
1983.0,340.425
1983.0833333333333,341.34
1983.1666666666667,342.5
1983.25,343.15
1983.3333333333333,344.9
1983.4166666666667,345.65
1983.5,345.275
1983.5833333333333,343.82
1983.6666666666667,342.15
1983.75,339.875
1983.8333333333333,340.02
1983.9166666666667,341.15
1984.0,342.98
1984.0833333333333,343.675
1984.1666666666667,344.425
1984.25,345.175
1984.3333333333333,347.4
1984.4166666666667,347.35
1984.5,346.65999999999997
1984.5833333333333,345.2
1984.6666666666667,343.3
1984.75,341.12
1984.8333333333333,341.475
1984.9166666666667,342.85
1985.0,344.14
1985.0833333333333,344.925
1985.1666666666667,345.875
1985.25,347.44
1985.3333333333333,348.325
1985.4166666666667,348.82500000000005
1985.5,348.17999999999995
1985.5833333333333,346.45
1985.6666666666667,344.3
1985.75,343.0
1985.8333333333333,342.8
